"","Flavor"
"397","Too many wizards spoil the spell, but too many spells spoil the wizard. —Sign on entry to arcane lab"
"398","Debates between wizards are never purely academic."
"399","""We must rely on our own knowledge, not on the dogma of the seekers or the mutterings of the sphinxes."" —Tullus of Palandius"
"400","It breaches not physical distances but temporal ones."
"401","Not all knowledge is learned from parchment."
"402","He has journeyed where none have been before. Now he returns to ensure that none follow."
"403","Nobles don wings to reach the sky villas of their peers, exchanging them for more fashionable attire upon arrival."
"404","""If you must die today, make your death worthy of legend."" —Alesha, Who Smiles at Death"
"405","Break in case of emergency."
"406","""Top-performing automaton combatants are to be seized and modified for service."" — Confiscation directive"
"407","The parts are as strong as the whole."
"408","""Words of power never disappear. They sleep, awaiting those with the will to rouse them."""
"409","The sky rang with the cries of armored seraphs, and the darkness made a tactical retreat."
"410","Even the wicked have nightmares."
"411","""This is the light of Avacyn. Even in her absence she offers us hope."" —Radulf, priest of Avacyn"
"412","The necropolis at Unx was once a living city, its streets untrodden by death."
"413","""We think of the naga as creeping cutthroats, slitherers in the swamps. But they are equally at home in the trees."" —Goton, Qal Sisma shaman"
"414","Every shaft is graven with a name from a kin tree, calling upon the spirits of the ancestors to make it fly true."
"415","""Did Purphoros bless Maikal because of his rage? Or did Maikal's rage blossom after he'd been blessed? Only the gods know."" —Eocles, oracle of Purphoros"
"416","""It has been my experience that soldiers most fervently follow generals who lead by example."" —Elspeth"
"417","Despite its fearsome stature, it is as elusive as a shadow, circling round to stalk those who presume to hunt it."
"418","She sees mortals not as they wish to be, but as what they will become."
"419","""Is it not the embodiment of our aspirations?"" —Prokopios, astronomer of Meletis"
"420","""Why would I kill you all? Who then would be left to worship me?"""
"421","Next to her designs, life seems like a pale imitation."
"422","This secret society of mages manipulates the beliefs and opinions of others."
"423","""Sit down and read. Educate yourself for the coming conflicts."" —Mary Harris ""Mother"" Jones"
"424","In dark times, Truth bears a blade."
"425","Until Emeria is freed, he raises his sword in her name."
"426","The silk of the archweavers adds structural integrity to otherwise unstable Izzet building sites."
"427","Swifter than an angel, crueler than a demon, and relentless as a ghoul."
"428","Lightning burns its own path."
"429","The storms of the wastelands form quickly and hit hard. Few have anything to do with rain."
"430","A shuffling sound and the smell of ozone follow the slogger as surely as its electric tail."
"431","""A realm once green now ruled by Frost, Where flesh and field both pay its cost. Those dearly loved, forever lost . . ."" —The Dynasty of Winter Kings"
"432","""Those Foxes are wily, swift, and ferocious. They are the warriors of the snows."" —General Jarkeld, the Arctic Fox"
"433","""No matter where we cat warriors go in the world, those stupid slobberers find us."" —Mirri of the Weatherlight"
"434","""Don't try to hit your enemies. Concentrate on the space between them, and fill the air with doom."" —Spear-Tribe teaching"
"435","""Artifice sundered the world. It shall not again wreak such sorrow."""
"436","""With the proper equipment and caution, one can travel anywhere."" —Arcum Dagsson, Soldevi Machinist"
"437","Knights fight for honor and mercenaries fight for gold. The militia fights for hearth and home."
"438","""We lost our homes and our kin. We won't let those rotters take our future as well."""
"439","The Iroan Games award no medals. Athletes vie for a visit from Iroas, god of victory."
"440","""Cloak me in mystery, hide my names from my enemies, and let me draw from the well of power."" —Halvor Arenson, Kjeldoran priest"
"441","""My world is corrupted beyond cleansing. I must prevent this from happening to other worlds."" —Karn"
"442","A great mirage, a dream of wings and silver."
"443","Mirrodin's creator still lives, still shapes metal, and still commands world-shaking power."
"444","Fascinated by the lore of ancient struggles, the archaeologist searches incessantly for remnants of an earlier, more powerful era."
"445","Through years of study and training, the Blacksmiths of Argive became adept at reassembling the mangled remains of the strange, mechanical creatures abounding in their native land."
"446","""We often bury our pasts, and then someone comes along and digs them up."" —Gerrard of the Weatherlight"
"447","""The Argivian University taught me two things: always look to the past, and never dismiss what appears useless."" —Hanna, Weatherlight navigator"
"448","Sharpen your ears —Elvish expression meaning ""grow wiser"""
"449","After the rape of Argoth Forest during the rule of the artificers, the Pixies of Argoth bent their magic to more practical ends."
"450","In Argoth, the shortest path between two points is the one the swine make."
"451","Haunting cries we hear in our dreams As the forest dies, a death from machines."
"452","Arguel's vision led him into the jungles of Ixalan . . ."
"453",". . . to the lost temple of a bat-god of night, eternal enemy to the Threefold Sun."
"454","He speaks directly into his supplicants' minds using fiery words that inflame their thoughts and incite their passions."
"455","When opened, it erases entire landscapes from minds and maps."
"456","No one in the Conclave acts alone."
"457","""Don't laugh. It works."""
"458","War destroys more than just the land. War destroys hope."
"459","The Abzan avoid extended supply lines by incorporating weapons stores into their battle formations."
"460","""We prepare for the known with daggers, rations, rope, and pitons. But we also prepare for the unknown with billycat tails, pikku roots, hedron chips . . ."""
"461","Raksha watched as the goblins continued to pour onto the Razor Fields. ""They just don't know when to stop, do they?"""
"462","The mysterious purpose of two of the rings had eluded Esper mages—until now."
"463","We all must profit for peace to last. —Mercadian saying"
"464","Were she not a judge, she'd win the division herself."
"465","With skill and strength honed upon the prairie, Naxtil won his battles high above it."
"466","Creatures displaced from time still turn up every year, stranded by the temporal disaster that once swept across Dominaria."
"467","""Information equals profits. Our merchants sell it, or our pirates use it."" —Jefan, Talas ship captain"
